sheet,row,column,message,level
studyDesignTiming,14,9,"Could not decode the range value, possible typographical errors '0..? Days'",Error
studyDesignTiming,15,9,"Could not decode the range value, possible typographical errors '0..? Days'",Error
studyDesignTiming,16,9,"Could not decode the range value, possible typographical errors '0..? Days'",Error
studyDesignTiming,17,9,"Could not decode the range value, possible typographical errors '0..? Days'",Error
studyDesignTiming,20,9,Unable to set the units code for the range '-5..5 minutes',Error
studyDesignTiming,21,9,Unable to set the units code for the range '-10..10 minutes',Error
studyDesignTiming,22,9,Unable to set the units code for the range '-10..0 minutes',Error
studyDesignTiming,24,9,Unable to set the units code for the range '-30..30 minutes',Error
studyDesignTiming,30,9,Unable to set the units code for the range '-10..0 minutes',Error
studyDesignTiming,31,9,Unable to set the units code for the range '-45..60 minutes',Error
studyDesignTiming,34,9,Unable to set the units code for the range '0..30 minutes',Error
studyDesignTiming,35,9,Unable to set the units code for the range '-10..0 minutes',Error
studyDesignTiming,36,9,Unable to set the units code for the range '-45..60 minutes',Error
studyDesignTiming,39,9,Unable to set the units code for the range '0..30 minutes',Error
studyDesignTiming,42,9,Unable to set the units code for the range '0..30 minutes',Error
studyDesignTiming,43,9,Unable to set the units code for the range '-10..0 minutes',Error
studyDesignTiming,44,9,Unable to set the units code for the range '-45..60 minutes',Error
studyDesignTiming,47,9,Unable to set the units code for the range '0..30 minutes',Error
studyIdentifiers,1,7,"Address '46 Avenue De La Grande Armee|Paris | ile-de-France |75017 |France' does not contain the required fields (first line, district, city, state, postal code and country code) using '|' separator characters, only 5 found",Error
studyIdentifiers,2,7,"Address '8600 Rockville Pike,Bethesda, MD, 20894, USA' does not contain the required fields (first line, district, city, state, postal code and country code) using ',' separator characters, only 5 found",Error
studyIdentifiers,5,7,"Address '' does not contain the required fields (first line, district, city, state, postal code and country code) using ',' separator characters, only 0 found",Error
studyDesign,9,2,"Failed to decode masking role data '', no '=' detected",Error
PKTimeline,,,"Default reference from C1D1_EOI_A to C1D1_EOI_A30 cannot be made, not found on the same timeline",Error
PKTimeline,,,"Default reference from C1D8_PRE to C1D8_SOI cannot be made, not found on the same timeline",Error
PKTimeline,,,"Conditonal reference from Cx_END to C5D1_SOI_A cannot be made, not found on the same timeline",Error
BMTimeline,18,3,"No activity 'If feasible, biomarker analyses listed below for …' found, so one has been created",Warning
BMTimeline,,,Unable to find activity '' when adding to schedule instance,Warning
BMTimeline,,,Unable to find activity '' when adding to schedule instance,Warning
BMTimeline,,,Unable to find activity '' when adding to schedule instance,Warning
,,,"Duplicate cross reference detected, class 'ScheduleTimeline' with name 'PK Timeline'",Error
eventTimeline,12,3,"No activity 'Prior/Concomitant Medication' found, so one has been created",Warning
,,,"Duplicate cross reference detected, class 'ScheduledDecisionInstance' with name 'Cx_END'",Error
mainTimeline,,,Failed to find epoch with name 'Long-term Follow-up',Warning
mainTimeline,,,"Default reference from C1D15 to C2D1 cannot be made, not found on the same timeline",Error
mainTimeline,,,"Default reference from CxD1 to C2_END cannot be made, not found on the same timeline",Error
mainTimeline,,,"Conditonal reference from Cx_END to C2D1 cannot be made, not found on the same timeline",Error
mainTimeline,,,Child activity with name 'Informed consent' does not have a parent specified,Error
mainTimeline,,,Child activity with name 'Eligibility criteria' does not have a parent specified,Error
mainTimeline,,,Child activity with name 'Demography' does not have a parent specified,Error
mainTimeline,,,Child activity with name 'Medical/Surgical and Disease history' does not have a parent specified,Error
mainTimeline,,,Child activity with name 'Physical examination' does not have a parent specified,Error
mainTimeline,,,Child activity with name 'Height/Weight/ECOG or Kamofsky PS (GBM)' does not have a parent specified,Error
mainTimeline,,,Child activity with name 'Vital signs' does not have a parent specified,Error
mainTimeline,,,Child activity with name 'Resting O2 saturation for SCCHN' does not have a parent specified,Error
mainTimeline,,,Child activity with name '12-lead ECG' does not have a parent specified,Error
,,,Unable to find timing 'from' reference with name C1D1_E,Error
,,,Unable to find timing 'to' reference with name C1D1_E,Error
,,,Unable to find timing 'to' reference with name C1D1_E,Error
PKTimeline,,,Unable to find timing reference for instance with name 'C1D15_PRE',Warning
mainTimeline,,,Duplicate use of timing with name 'TIM14' across timelines detected,Warning
mainTimeline,,,Duplicate use of timing with name 'TIM16' across timelines detected,Warning
mainTimeline,,,Duplicate use of timing with name 'TIM17' across timelines detected,Warning
mainTimeline,,,Unable to find timing reference for instance with name 'EXIT',Warning
,,,Timing with name 'TIM13' not referenced,Error
,,,Timing with name 'TIM57' not referenced,Error
studyDesignPopulations,1,8,CDISC CT not found for value 'MALE; FEMALE'.,Error
MyFormat,,,"No content item specified for section '0.1', 'Amended Clinical Trial Protocol 05'",Warning
MyFormat,1,2,"Error with section number incresing by more than one level, section '0.1'.",Error
MyFormat,,,Exception. Error [] while reading sheet 'MyFormat'. See log for additional details.,Error
m11Format,,,"No content item specified for section '1', 'PROTOCOL SUMMARY'",Warning
m11Format,,,"No content item specified for section '1.1', 'Protocol Synopsis'",Warning
m11Format,,,"No content item specified for section '1.1.1', 'Primary and Secondary Objectives and Estimands'",Warning
m11Format,,,"No content item specified for section '2', 'INTRODUCTION'",Warning
m11Format,,,"No content item specified for section '2.1', 'Purpose of Trial'",Warning
m11Format,,,"No content item specified for section '2.2', 'Summary of Benefits and Risks'",Warning
m11Format,,,"No content item specified for section '2.2.1', 'Benefit Summary'",Warning
m11Format,,,"No content item specified for section '2.2.2', 'Risk Summary and Mitigation Strategy'",Warning
m11Format,,,"No content item specified for section '2.2.3', 'Overall Benefit:Risk Conclusion'",Warning
m11Format,,,"No content item specified for section '3', 'TRIAL OBJECTIVES AND ESTIMANDS'",Warning
m11Format,,,"No content item specified for section '3.1.1', '{Primary Estimand}'",Warning
m11Format,,,"No content item specified for section '3.3', 'Exploratory Objective(s)'",Warning
m11Format,,,"No content item specified for section '4', 'TRIAL DESIGN'",Warning
m11Format,,,"No content item specified for section '4.1.1', 'Stakeholder Input into Design'",Warning
m11Format,,,"No content item specified for section '4.2', 'Rationale for Trial Design'",Warning
m11Format,,,"No content item specified for section '4.2.1', 'Rationale for Intervention Model'",Warning
m11Format,,,"No content item specified for section '4.2.2', 'Rationale for Duration'",Warning
m11Format,,,"No content item specified for section '4.2.3', 'Rationale for Estimands'",Warning
m11Format,,,"No content item specified for section '4.2.4', 'Rationale for Interim Analysis'",Warning
m11Format,,,"No content item specified for section '4.2.5', 'Rationale for Control Type'",Warning
m11Format,,,"No content item specified for section '4.2.6', 'Rationale for Adaptive or Novel Trial Design'",Warning
m11Format,,,"No content item specified for section '4.2.7', 'Rationale for Other Trial Design Aspects'",Warning
m11Format,,,"No content item specified for section '4.3', 'Trial Stopping Rules'",Warning
