sectionNumber,name,sectionTitle,text
0.,,Title Page,"<p>Xanomeline (LY246708)</p>
<p>Protocol H2Q-MC-LZZT(c)</p>
<p>Safety and Efficacy of the Xanomeline<br/>
Transdermal Therapeutic System (TTS) in Patients<br/>
with Mild to Moderate Alzheimer's Disease</p>
<p>Safety and Efficacy of the Xanomeline<br/>
Transdermal Therapeutic System (TTS) in Patients<br/>
with Mild to Moderate Alzheimer's Disease</p>
<p>Table of Contents</p>
<p>Section Page</p>
<p>1. Introductio<span class=""s7"">n</span>......................................................................................................................5</p>
<p>2. Objectives ........................................................................................................................7</p>
<p>2.1. Primary Objective<span class=""s8"">s</span>.....................................................................................................7</p>
<p>2.2. Secondary Objective<span class=""s8"">s</span>.................................................................................................7</p>
<p>3. Investigational Pla<span class=""s9"">n</span>..........................................................................................................8</p>
<p>3.1. Summary of Study Design .........................................................................................8</p>
<p>3.2. Discussion of Design and Contro<span class=""s10"">l</span>..............................................................................9</p>
<p>3.3. Investigator Informatio<span class=""s10"">n</span>...........................................................................................10</p>
<p>3.3.1 . Final Report Signatur<span class=""s11"">e</span>.......................................................................................10</p>
<p>3.4. Study Population ......................................................................................................10</p>
<p>3.4.1 . Entry Procedure<span class=""s12"">s</span>................................................................................................10</p>
<p>3.4.2 . Criteria for Enrollmen<span class=""s10"">t</span>.......................................................................................10</p>
<p>3.4.2.1 . Inclusion Criteria .........................................................................................11</p>
<p>3.4.2.2 . Exclusion Criteria ........................................................................................13</p>
<p>3.4.2.3 . Violation of Criteria for Enrollment ............................................................23</p>
<p>3.4.3 . Disease Diagnostic Criteria ...............................................................................23</p>
<p>3.4.4 . Sample Siz<span class=""s13"">e</span>........................................................................................................24</p>
<p>3.5. Patient Assignmen<span class=""s13"">t</span>...................................................................................................24</p>
<p>3.6. Dosage and Administratio<span class=""s8"">n</span>......................................................................................24</p>
<p>3.6.1 . Materials and Supplie<span class=""s14"">s</span>.......................................................................................24</p>
<p>3.6.2 . TTS Administration Procedures ........................................................................24</p>
<p>3.7. Blindin<span class=""s8"">g</span>....................................................................................................................26</p>
<p>3.8. Concomitant Therap<span class=""s15"">y</span>...............................................................................................26</p>
<p>3.9. Efficacy, Pharmacokinetic, and Safety Evaluations.................................................27</p>
<p>3.9.1 . Efficac<span class=""s16"">y</span>..............................................................................................................27</p>
<p>3.9.1.1 . Efficacy Measure<span class=""s17"">s</span>........................................................................................27</p>
<p>3.9.1.2 . Efficacy Criteri<span class=""s8"">a</span>...........................................................................................29</p>
<p>3.9.2 . Pharmacokinetic<span class=""s18"">s</span>...............................................................................................29</p>
<p>Table of Contents (continued)</p>
<p>Section Page</p>
<p>3.9.3 . Safety .................................................................................................................30</p>
<p>3.9.3.1 . Safety Measure<span class=""s18"">s</span>...........................................................................................30</p>
<p>3.9.3.2 . Clinical Adverse Event<span class=""s7"">s</span>...............................................................................30</p>
<p>3.9.3.2 .1. Adverse Event Reporting Requirement<span class=""s19"">s</span>................................................30</p>
<p>3.9.3.2 .2. Serious Adverse Events .........................................................................31</p>
<p>3.9.3.3 . Clinical Laboratory Test<span class=""s7"">s</span>.............................................................................31</p>
<p>3.9.3.4 . Other Safety Measure<span class=""s20"">s</span>.................................................................................33</p>
<p>3.9.3.4 .1 Vital Sign Determinatio<span class=""s18"">n</span>........................................................................34</p>
<p>3.9.3.4 .2. Cardiovascular Safety Measure<span class=""s14"">s</span>...............................................................35</p>
<p>3.9.4 . Safety Monitorin<span class=""s18"">g</span>..............................................................................................35</p>
<p>3.9.5 . Appropriateness and Consistency of Measurements .........................................38</p>
<p>3.10. Patient Disposition Criteri<span class=""s11"">a</span>....................................................................................38</p>
<p>3.10.1 . Discontinuations ..............................................................................................38</p>
<p>3.10.1.1 . Retrieval of Discontinuations ....................................................................39</p>
<p>3.10.2 . Qualifications for Analysis ..............................................................................39</p>
<p>3.10.3 . Study Extension<span class=""s19"">s</span>..............................................................................................39</p>
<p>3.10.3.1 . Compliance ................................................................................................39</p>
<p>3.11. Quality Assurance ..................................................................................................40</p>
<p>4. Data Analysis Method<span class=""s21"">s</span>..................................................................................................41</p>
<p>4.1. General Considerations ............................................................................................41</p>
<p>4.2. Demographics and Patient Characteristics Measured at<br/>
Baseline ................................................................................................................41</p>
<p>4.3. Efficacy Analyse<span class=""s13"">s</span>.....................................................................................................41</p>
<p>4.3.1 . Efficacy Variables to be Analyzed ....................................................................41</p>
<p>4.3.2 . Times of Analyse<span class=""s9"">s</span>..............................................................................................42</p>
<p>4.3.3 . Statistical Methodolog<span class=""s22"">y</span>.....................................................................................43</p>
<p>4.3.4 . One-sided Justification ......................................................................................44</p>
<p>4.3.5 . Nominal P-value Adjustment<span class=""s22"">s</span>...........................................................................45</p>
<p>4.4. Safety Analyse<span class=""s16"">s</span>........................................................................................................46</p>
<p>4.5. Subgroup Analyse<span class=""s13"">s</span>...................................................................................................47</p>
<p>4.6. Interim Efficacy Analyse<span class=""s15"">s</span>........................................................................................47</p>
<p>4.7. Interim Safety Analyses ...........................................................................................47</p>
<p>4.8. Pharmacokinetic/Pharmacodynamic Analyses ........................................................48</p>
<p>Table of Contents (concluded)</p>
<p>Section Page</p>
<p>5. Informed Consent, Ethical Review, and Regulatory<br/>
Consideration<span class=""s22"">s</span>...........................................................................................................49</p>
<p>5.1. Informed Consen<span class=""s21"">t</span>.....................................................................................................49</p>
<p>5.2. Ethical Review .........................................................................................................50</p>
<p>5.3. Regulatory Consideration<span class=""s18"">s</span>.......................................................................................50</p>
<p>6. Reference<span class=""s17"">s</span>......................................................................................................................51</p>
<p>List of Attachments</p>
<p>Protocol Attachment LZZT.1.</p>
<p>Schedule of Events for Protocol H2Q-MC-LZZT(c)</p>
<p>Protocol Attachment LZZT.2.</p>
<p>Alzheimer's Disease Assessment Scale<span class=""s23"">−</span>Cognitive Subscale (ADAS-Cog) with Attention and Concentration Tasks</p>
<p>Protocol Attachment LZZT.3.</p>
<p>Video-referenced Clinician's Interview-Based Impression of Change (CIBIC+)</p>
<p>Protocol Attachment LZZT.4.</p>
<p>Revised Neuropsychiatric Inventory (NPI-X)</p>
<p>Protocol Attachment LZZT.5.</p>
<p>Disability Assessment for Dementia (DAD)</p>
<p>Protocol Attachment LZZT.6.</p>
<p>Mini-Mental State Examination (MMSE)</p>
<p>Protocol Attachment LZZT.7.</p>
<p>NINCDS/ADRDA Guidelines</p>
<p>Protocol Attachment LZZT.8.</p>
<p>Hachinski Ischemic Scale</p>
<p>Protocol Attachment LZZT.9.</p>
<p>TTS Acceptability Survey</p>
<p>Protocol Attachment LZZT.10.</p>
<p>Protocol Signatures</p>
<p>Safety and Efficacy of the Xanomeline<br/>
Transdermal Therapeutic System (TTS) in Patients<br/>
with Mild to Moderate Alzheimer's Disease</p>"
1.,,Introduction,"<p>The M<span class=""s24"">1</span> muscarinic-cholinergic receptor is 1 of 5 characterized muscarinic-cholinergic receptor subtypes (Fisher and Barak 1994). M<span class=""s24"">1</span> receptors in the cerebral cortex and hippocampus are, for the most part, preserved in Alzheimer's disease (AD), while the presynaptic neurons projecting to these receptors from the nucleus basalis of Meynert degenerate (Bierer et al. 1995). The presynaptic loss of cholinergic neurons has been correlated to the antimortum cognitive impairment in AD patients, prompting speculation that replacement therapy with cholinomimetics will alleviate the cognitive dysfunction of the disorder (Fisher and Barak 1994).</p>
<p>Xanomeline is a novel M<span class=""s24"">1</span> agonist which has shown high affinity for the M<span class=""s24"">1</span> receptor subtype (in transfected cells), and substantially less or no affinity for other muscarinic subtypes. Positron emission tomography (PET) studies of <span class=""s24"">11</span>C-labeled xanomeline in cynomolgus monkeys have suggested that the compound crosses the blood-brain barrier and preferentially binds the striatum and neocortex.</p>
<p>Clinical development of an oral formulation of xanomeline for the indication of mild and moderate AD was initiated approximately 4 years ago. A large-scale study of safety and efficacy provided evidence that an oral dosing regimen of 75 mg three times daily (TID) may be associated with enhanced cognition and improved clinical global impression, relative to placebo. As well, a dramatic reduction in psychosis, agitation, and other problematic behaviors, which often complicate the course of the disease, was documented. However, the discontinuation rate associated with this oral dosing regimen was 58.6%, and alternative clinical strategies have been sought to improve tolerance for the compound.</p>
<p>To that end, development of a Transdermal Therapeutic System (TTS) has been initiated. Relative to the oral formulation, the transdermal formulation eliminates high concentrations of xanomeline in the gastrointestinal (GI) tract and presystemic (firstpass) metabolism. Three transdermal delivery systems, hereafter referred to as the xanomeline TTS Formulation A, xanomeline TTS Formulation B, and xanomeline TTS formulation E have been manufactured by Lohman Therapy Systems GmbH of Andernach Germany. TTS Formulation A is 27 mg xanomeline freebase in a 25-cm2 matrix. TTS Formulation B is 57.6 mg xanomeline freebase in a 40-cm2 matrix. Formulation E has been produced in 2 patch sizes: 1) 54 mg xanomeline freebase with 0.06 mg Vitamin E USP in a 50-cm2 matrix and 2) 27 mg xanomeline freebase with 0.03 mg Vitamin E USP in a 25-cm2 matrix. For a detailed description of the composition of</p>
<p>these formulations please refer to Part II, Section 14 of the Xanomeline (LY246708) Clinical Investigator's Brochure. For characterization of the safety, tolerance, and pharmacokinetics of xanomeline TTS Formulations A, B, and E, please refer to Part II, Sections 7, 8, and 10 of the Xanomeline (LY246708) Clinical Investigator's Brochure. Formulation E will be studied in this protocol, H2Q-MC-LZZT(c).</p>"
2.,,Objectives,
2.1.,,Primary Objectives,"<p>The primary objectives of this study are</p>
<p><span class=""s26"">•</span> To determine if there is a statistically significant relationship (overall<br/>
Type 1 error rate, <span class=""s27"">α</span>=.05) between the change in both ADAS-Cog (see<br/>
Attachment LZZT.2) and CIBIC+ (see Attachment LZZT.3) scores, and<br/>
drug dose (0, 50 cm <span class=""s28"">2</span> [54 mg], and 75 cm <span class=""s28"">2</span> [81 mg]).</p>
<p>• To document the safety profile of the xanomeline TTS.<br/>
<span class=""s30""><b>2.2</b></span><span class=""s31""><b>.</b></span> <span class=""s30""><b>Secondar</b></span><span class=""s31""><b>y</b></span> <span class=""s30""><b>Objective</b></span><span class=""s31""><b>s</b></span><br/>
The secondary objectives of this study are</p>
<p><span class=""s26"">•</span> To assess the dose-dependent improvement in behavior. Improved scores<br/>
on the Revised Neuropsychiatric Inventory (NPI-X) will indicate<br/>
improvement in these areas (see Attachment LZZT.4).</p>
<p><span class=""s26"">•</span> To assess the dose-dependent improvements in activities of daily living.<br/>
Improved scores on the Disability Assessment for Dementia (DAD) will indicate improvement in these areas (see Attachment LZZT.5).</p>
<p><span class=""s26"">•</span> To assess the dose-dependent improvements in an extended assessment of<br/>
cognition that integrates attention/concentration tasks. The Alzheimer's<br/>
Disease Assessment Scale-14 item Cognitive Subscale, hereafter referred<br/>
to as ADAS-Cog (14), will be used for this assessment (see Attachment<br/>
LZZT.2).</p>
<p><span class=""s26"">•</span> To assess the treatment response as a function of Apo E genotype.</p>"
3.,,Investigational Plan,
3.1.,,Summary of Study Design,"<p>Patients with probable mild to moderate AD will be studied in a randomized, double-blind, parallel (3 arm), placebo-controlled trial of 26 weeks duration. The study will be conducted on an outpatient basis. Approximately 300 patients will be enrolled (see Schedule of Events for Protocol H2Q-MC-LZZT(c), Attachment LZZT.1).</p>
<p>Following informed consent, patients will be screened at Visit 1. At screening, patients will undergo complete neuropsychiatric assessment, psychometric testing, and general medical assessment (including medical history, pre-existing conditions, physical examination). In addition, vital signs, temperature, medication history, electrocardiogram (ECG), chest x-ray, and safety laboratories will be obtained. During the screening visit, patients will wear a placebo TTS to determine willingness and ability to comply with transdermal administration procedures. If patients have not had central nervous system (CNS) imaging in the previous 12 months, a computed tomography (CT) or magnetic resonance imaging (MRI) scan will be obtained. If patients are insulin dependent diabetics, a hemoglobin A <span class=""s32"">1</span><span class=""s28"">c</span> will be obtained. Screening exams and procedures may be performed after Visit 1; however, their results must be completed and available prior to randomization. The screening process should occur within 2 weeks of randomization (Visit 3 of the study).</p>
<p>Patients who meet enrollment criteria from Visit 1 will proceed to Visit 2 at which time they will undergo a 24-hour Ambulatory ECG. At Visit 3 the Ambulatory ECG will be removed and patients will be randomized to 1 of 3 treatment arms. The treatment arms will include a placebo arm, a low-dose xanomeline arm (50 cm 2 TTS Formulation E, 54 mg xanomeline), and a high-dose xanomeline arm (75 cm 2 TTS Formulation E, 81 mg xanomeline). All patients receiving xanomeline will be started at 50 cm 2 TTS Formulation E. For the first 8 weeks of treatment, patients will be assessed at clinic visits every 2 weeks and, thereafter, at clinic visits every 4 weeks. Patients who discontinue prior to Visit 12 (Week 24) will be brought back for full efficacy assessments at or near to 24 weeks, whenever possible.</p>
<p>A Data Safety Monitoring Board (DSMB), chaired by an external cardiologist, will meet after 75, 150, 225, and 300 patients have completed 1 month of treatment. The DSMB will review cardiovascular findings to decide if discontinuation of the study or any treatment arm is appropriate, if additional cardiovascular monitoring is required, if further cardiovascular monitoring is unnecessary, or if adjustment of dose within a treatment arm (or arms) is appropriate (see Section 3.9.4).</p>
<p>At Visits 3, 8, 10, and 12, efficacy instruments (ADAS-Cog, CIBIC+, and DAD) will be administered. NPI-X will be administered at 2-week intervals either at clinic visits or via a telephone interview. Vital signs, temperature, and an assessment of adverse events will</p>
<p>be obtained at all clinic visits. An electrocardiogram (ECG), and chemistry/hematology safety labs will be obtained at Visits 4, 5, 7, 8, 9, 10, 11, 12, and 13. Urinalysis will be done at Visits 4, 9, and 12. Use of concomitant medications will be collected at Visits 3, 4, 5, 7, 8, 9, 10, 11, 12, and 13. Plasma levels of xanomeline and metabolites will be obtained at Visits 3, 4, 5, 7, 9, and 11. At Visits 3, 4, 5, 7, 8, 9, 10, 11, and 12, medications will be dispensed to the patients.</p>
<p>Visits 1 through 13 should be scheduled relative to Visit 3 (Week 0 - randomization). Visits 4, 5, 7, 8, and 13 should occur within 3 days of their scheduled date. Visits 9, 10, 11, and 12 should occur within 4 days of their scheduled date. At Visit 13 patients will be given the option to enter the open-label extension phase (see Section 3.10.3. Study Extensions).</p>
<p class=""p7"">75 cm <span class=""s33"">2</span></p>
<p class=""p7"">(81 mg <span class=""s34"">)</span></p>
<p class=""p7"">50 cm <span class=""s33"">2</span> (54 mg)</p>
<p class=""p7"">50 cm <span class=""s33"">2</span> (54 mg)</p>
<p class=""p7"">Placebo</p>
<p>Visit <span class=""s38""><b>1</b></span></p>
<p class=""p8""><b>2 -2 -.3 0</b></p>
<p class=""p8""><b>3 4</b></p>
<p class=""p8""><b>2</b></p>
<p class=""p8""><b>5 7 8</b></p>
<p class=""p8""><b>8</b></p>
<p class=""p8""><b>9</b></p>
<p class=""p8""><b>12</b></p>
<p class=""p8""><b>10</b></p>
<p class=""p8""><b>16</b></p>
<p class=""p8""><b>11</b></p>
<p class=""p8""><b>20</b></p>
<p class=""p8""><b>12</b></p>
<p class=""p8""><b>24</b></p>
<p class=""p8""><b>13</b></p>
<p class=""p8""><b>Week 4 6 26</b></p>
<p class=""p9"">interim analy<span class=""s9"">s</span>is (50% complete)</p>
<p class=""p9"">interim analy<span class=""s9"">s</span>is (50% complete)</p>
<p class=""p10""><b>Figure LZZT.1. Illustration of study design for Protocol H2Q-MC-LZZT(c).</b></p>"
3.2.,,Discussion of Design and Control,"<p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p>
<p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p>
<p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks). (See Section 4.6, Interim Analyses.)</p>"
3.3.,,Investigator Information,"<p>The name, title, and institution of the investigator(s) is/are listed on the Investigator/Contacts cover pages provided with this protocol. If the investigator is changed after the study has been approved by an ethical review board, or a regulatory agency, or by Lilly, this addition will not be considered a change to the protocol. However, the Investigator/Contacts cover pages will be updated to provide this information.</p>"
3.3.1.,,Final Report Signature,"<p>The final report coordinating investigator will sign the final clinical study report for this study, indicating agreement with the analyses, results, and conclusions of the report.</p>
<p>The investigator who will serve as the final report coordinating investigator will be an individual that is involved with the design and analysis of the study. This final report coordinating investigator will be named by the sponsor of the study.</p>"
3.4.,,Study Population,
