sheet,row,column,message,level
studyIdentifiers,2,6,"Address does not contain the required fields (line, city, district, state, postal code and country code) using ',' separator characters, only 0 found",Error
dayOne,1,4,No previous non-empty cell found.,Warning
dayOne,6,4,Ignoring '-' in pre-hypoglycemia induction,Warning
dayOne,6,4,Could not decode the duration value 'prehypoglycemia induction',Error
dayOne,1,5,No previous non-empty cell found.,Warning
dayOne,1,6,No previous non-empty cell found.,Warning
dayOne,1,7,No previous non-empty cell found.,Warning
dayOne,6,7,Could not decode the duration value 'Pre dose',Error
dayOne,1,8,No previous non-empty cell found.,Warning
dayOne,1,9,No previous non-empty cell found.,Warning
dayOne,1,10,No previous non-empty cell found.,Warning
dayOne,1,11,No previous non-empty cell found.,Warning
dayOne,1,12,No previous non-empty cell found.,Warning
dayOne,1,13,No previous non-empty cell found.,Warning
dayOne,1,14,No previous non-empty cell found.,Warning
dayOne,1,15,No previous non-empty cell found.,Warning
dayOne,1,16,No previous non-empty cell found.,Warning
dayOne,1,17,No previous non-empty cell found.,Warning
dayOne,1,18,No previous non-empty cell found.,Warning
dayOne,1,19,No previous non-empty cell found.,Warning
dayOne,1,20,No previous non-empty cell found.,Warning
mainTimeline,6,4,"Could not decode the duration value, no value and units found in '1..27 Days'",Error
mainTimeline,8,10,Ignoring '-' in -2Days,Warning
